statement_id;source_row_id;page;source_order;include;sale_date;description;raw_amount;expected_signed_amount;currency;reference;exclusion_reason
BDO_VGOLD_202608;p1-x001;1;1;false;;PREVIOUS STATEMENT BALANCE;22886.77;;PHP;;previous-balance
BDO_VGOLD_202608;p1-r001;1;2;true;2026-07-29;PC EXPRESS SM NORTH II QUEZON CITY PH | INSTALMENT 5 OF 12;828.33;-828.33;PHP;;
BDO_VGOLD_202608;p1-r002;1;3;true;2026-07-29;MONTHLY MEMBERSHIP FEE;200.00;-200.00;PHP;;
BDO_VGOLD_202608;p1-r003;1;4;true;2026-07-29;SKECHERS PASEO LAGUNA PH | INSTALMENT 4 OF 6;1885.42;-1885.42;PHP;;
BDO_VGOLD_202608;p1-r004;1;5;true;2026-07-29;IKEA PASAY PH | INSTALMENT 2 OF 3;3547.00;-3547.00;PHP;;
BDO_VGOLD_202608;p1-r005;1;6;true;2026-07-29;ACE HARDWARE-MALOLOS BULACAN PH | INSTALMENT 1 OF 3;1632.60;-1632.60;PHP;;
BDO_VGOLD_202608;p1-r006;1;7;true;2026-06-28;SHOPEE PH MANDALUYONG PH;1869.00;-1869.00;PHP;;
BDO_VGOLD_202608;p1-r007;1;8;true;2026-06-29;SHOPEE PH MANDALUYONG PH;394.00;-394.00;PHP;;
BDO_VGOLD_202608;p1-r008;1;9;true;2026-07-04;CONTIS MALOLOS BULACAN PH;4054.02;-4054.02;PHP;;
BDO_VGOLD_202608;p1-r009;1;10;true;2026-07-05;MCDO 781 BALAGTAS BALAGTAS PH;138.00;-138.00;PHP;;
BDO_VGOLD_202608;p1-r010;1;11;true;2026-07-06;GREATFIT MAKERS-HO PASIG CITY PH;1859.00;-1859.00;PHP;;
BDO_VGOLD_202608;p1-r011;1;12;true;2026-07-06;SHOPEE PH MANDALUYONG PH;1331.00;-1331.00;PHP;;
BDO_VGOLD_202608;p1-r012;1;13;true;2026-07-07;WATSONS WALTERMART MAL BULACAN PH;1621.00;-1621.00;PHP;;
BDO_VGOLD_202608;p1-r013;1;14;true;2026-07-07;MR DIY WML MALOLOS PH;317.00;-317.00;PHP;;
BDO_VGOLD_202608;p1-r014;1;15;true;2026-07-07;SHOPEE PH MANDALUYONG PH;99.00;-99.00;PHP;;
BDO_VGOLD_202608;p1-r015;1;16;true;2026-07-07;SHOPEE PH MANDALUYONG PH;129.00;-129.00;PHP;;
BDO_VGOLD_202608;p2-r016;2;17;true;2026-07-07;SHOPEE PH MANDALUYONG PH;469.00;-469.00;PHP;;
BDO_VGOLD_202608;p2-r017;2;18;true;2026-07-08;HEALTHY OPTIONS TAGUIG PH;529.00;-529.00;PHP;;
BDO_VGOLD_202608;p2-r018;2;19;true;2026-07-08;THE MARKETPLACE UPTO TAGUIG CITY PH;188.00;-188.00;PHP;;
BDO_VGOLD_202608;p2-r019;2;20;true;2026-07-08;GLOBE-BILLSPAY TAGUIG CITY PH;999.00;-999.00;PHP;;
BDO_VGOLD_202608;p2-r020;2;21;true;2026-07-08;7-ELEVEN-ST2514 FORT BONIFACI PH;100.00;-100.00;PHP;;
BDO_VGOLD_202608;p2-r021;2;22;true;2026-07-09;WDEPT STORE-MALOLOS BU BULACAN PH;1099.00;-1099.00;PHP;;
BDO_VGOLD_202608;p2-r022;2;23;true;2026-07-09;SHELL-EMERIGOLD-MALOLO BULACAN PH;1400.00;-1400.00;PHP;;
BDO_VGOLD_202608;p2-r023;2;24;true;2026-07-09;KLOOK FLICKET TAGUIG PH;3732.50;-3732.50;PHP;;
BDO_VGOLD_202608;p2-r024;2;25;true;2026-07-09;KLOOK FLICKET TAGUIG PH;1379.30;-1379.30;PHP;;
BDO_VGOLD_202608;p2-r025;2;26;true;2026-07-10;RE BALER AURORA AURORA PH;550.50;-550.50;PHP;;
BDO_VGOLD_202608;p2-r026;2;27;true;2026-07-10;CLDCMERCURYDRUG3018 RIZAL PH;52.50;-52.50;PHP;;
BDO_VGOLD_202608;p2-r027;2;28;true;2026-07-10;CLDCMERCURYDRUG3018 RIZAL PH;998.00;-998.00;PHP;;
BDO_VGOLD_202608;p2-r028;2;29;true;2026-07-10;MCDONALDS RIZAL FC RIZAL PH;423.00;-423.00;PHP;;
BDO_VGOLD_202608;p2-r029;2;30;true;2026-07-11;BAYS INN RESORT AURORA PH;1056.00;-1056.00;PHP;;
BDO_VGOLD_202608;p2-r030;2;31;true;2026-07-12;JOLLIBEE JB3283 CP CONCEPCION PH;275.00;-275.00;PHP;;
BDO_VGOLD_202608;p2-r031;2;32;true;2026-07-12;MANGINASAL MI3130 CONCEPCION PH;165.00;-165.00;PHP;;
BDO_VGOLD_202608;p2-r032;2;33;true;2026-07-12;RE-BALER AURORA AURORA PH;1512.00;-1512.00;PHP;;
BDO_VGOLD_202608;p2-x002;2;34;false;2026-07-24;PAYMENT RECEIVED - THANK YOU;-22886.77;;PHP;;credit-card-payment
BDO_VGOLD_202608;p3-r033;3;35;true;2026-07-27;GRAB PASIG CITY PH;125.00;-125.00;PHP;;
BDO_VGOLD_202608;p3-x003;3;36;false;;SUBTOTAL;34957.17;;PHP;;summary
BDO_VGOLD_202608;p3-x004;3;37;false;;TOTAL;34957.17;;PHP;;summary
